Dates,temp
2010-07-30,57.4251597556985
2010-07-31,58.7435970596982
2010-08-01,58.8673057636744
2010-08-02,57.5315704686969
2010-08-03,54.2912101644139
2010-08-04,54.29160471279899
2010-08-05,56.108863240658906
2010-08-06,57.72350997043839
2010-08-07,58.58827262898729
2010-08-08,58.73236545568211
2010-08-09,58.6987941231763
2010-08-10,57.47431863471999
2010-08-11,57.7356420303617
2010-08-12,54.89449204064421
2010-08-13,59.569156982322
2010-08-14,54.29476160239221
2010-08-15,54.2946908165246
2010-08-16,54.2946279071037
2010-08-17,62.979912710932894
2010-08-18,61.8904847457549
2010-08-19,60.43694776601829
2010-08-20,58.599082191839706
2010-08-21,58.17250781305861
2010-08-22,62.085286491662295
2010-08-23,70.47601479003309
2010-08-24,77.8651152593289
2010-08-25,69.5899716716058
2010-08-26,59.97205913552379
2010-08-27,59.01762245802521
2010-08-28,58.7330727555655
2010-08-29,59.0119731260717
2010-08-30,59.2936176527343
2010-08-31,63.255052481560895
2010-09-01,71.1432426427602
2010-09-02,70.0876920319515
2010-09-03,60.671407423320105
2010-09-04,58.0297968002549
2010-09-05,62.014835363737895
2010-09-06,66.1266906537424
2010-09-07,58.7667714723285
2010-09-08,59.6935252752787
2010-09-09,59.7581359838313
2010-09-10,63.004928149462096
2010-09-11,62.6215272648122
2010-09-12,58.07384143556789
2010-09-13,57.14815272975449
2010-09-14,58.3144866010368
2010-09-15,56.59313434052879
2010-09-16,61.5611816840412
2010-09-17,63.025742786757
2010-09-18,65.6276307118872
2010-09-19,64.3095698044588
2010-09-20,62.57576202574511
2010-09-21,60.35095498166471
2010-09-22,60.720756590743505
2010-09-23,61.9797715997042
2010-09-24,66.6745809431805
2010-09-25,69.8278167882931
2010-09-26,66.35558157611779
2010-09-27,71.1744564030444
2010-09-28,74.1892063115542
2010-09-29,65.1123272383492
2010-09-30,60.0431247472079
2010-10-01,60.430513984384795
2010-10-02,58.6514340239052
2010-10-03,59.036220960071496
2010-10-04,59.6351210481131
2010-10-05,59.995163859867
2010-10-06,60.7659152544806
2010-10-07,60.6299401004716
2010-10-08,60.5321195510342
2010-10-09,61.5081576499672
2010-10-10,65.1500481867961
2010-10-11,66.7289881619649
2010-10-12,67.7473155900334
2010-10-13,69.911087449159
2010-10-14,68.0104546409116
2010-10-15,61.1777557299261
2010-10-16,56.877866340726
2010-10-17,55.0395970385639
2010-10-18,56.1603966137582
2010-10-19,55.665123193022204
2010-10-20,56.5728562978576
2010-10-21,60.3883631651783
2010-10-22,58.2969413439121
2010-10-23,58.8908857331552
2010-10-24,61.768473611984206
2010-10-25,57.9078008639831
2010-10-26,56.8435922420242
2010-10-27,57.3824964283048
2010-10-28,61.9768883847966
2010-10-29,58.4164623574698
2010-10-30,57.7859797562638
2010-10-31,58.9815212096645
2010-11-01,60.403125608354905
2010-11-02,62.5446199809074
2010-11-03,62.76406982722921
2010-11-04,68.3543193751473
2010-11-05,59.6351365966515
2010-11-06,60.128534215609506
2010-11-07,57.7564352314931
2010-11-08,54.7150543546296
2010-11-09,51.88564706582479
2010-11-10,54.299794438967
2010-11-11,54.299735053917296
2010-11-12,54.299676789711704
2010-11-13,54.2996196147695
2010-11-14,54.2995634987475
2010-11-15,54.2995084124535
2010-11-16,54.2994543277776
2010-11-17,54.299401217634
2010-11-18,55.7589742725095
2010-11-19,52.358772211902895
2010-11-20,50.4265647104642
2010-11-21,50.8419231008179
2010-11-22,53.166510580285504
2010-11-23,51.6588784656524
2010-11-24,45.432416648520295
2010-11-25,48.2624568869868
2010-11-26,48.42567132803289
2010-11-27,50.4393732570885
2010-11-28,48.3574195104681
2010-11-29,48.2403389455519
2010-11-30,48.9995594697937
2010-12-01,50.658387930942794
2010-12-02,52.9152260830804
2010-12-03,54.735676730815705
2010-12-04,54.4852760294325
2010-12-05,54.2981366193429
2010-12-06,54.2981014089301
2010-12-07,54.2980667356701
2010-12-08,54.298032587537605
2010-12-09,54.2979989527878
2010-12-10,54.2979658199817
2010-12-11,54.29793317799479
2010-12-12,54.297901016016596
2010-12-13,54.297869323544596
2010-12-14,54.2978380903769
2010-12-15,54.2978073066029
2010-12-16,54.29777696259401
2010-12-17,54.297747048994104
2010-12-18,54.297717556710204
2010-12-19,54.2976884769036
2010-12-20,54.297659800980995
2010-12-21,54.2976315205859
2010-12-22,54.297603627590895
2010-12-23,54.29757611408979
2010-12-24,54.297548972390004
2010-12-25,52.46246021009979
2010-12-26,53.746140859434604
2010-12-27,53.855384491306
2010-12-28,53.587092147293504
2010-12-29,50.1801661501414
2010-12-30,47.5577310468612
2010-12-31,47.4056975381979
2011-01-01,48.1379421853007
2011-01-02,49.46604527666571
2011-01-03,50.0246970939415
2011-01-04,48.2789330669989
2011-01-05,49.3711492777322
2011-01-06,45.3310690758747
2011-01-07,44.089705494347
2011-01-08,46.492945092997
2011-01-09,44.6287660795209
2011-01-10,45.575407879269896
2011-01-11,47.502734827606105
2011-01-12,52.0253437808093
2011-01-13,54.3240661488315
2011-01-14,55.5856313422808
2011-01-15,56.1446981180131
2011-01-16,52.9271580946557
2011-01-17,53.545266478077295
2011-01-18,54.0239345513855
2011-01-19,55.5805506582056
2011-01-20,55.2893116285178
2011-01-21,55.058975680852
2011-01-22,56.777926315163
2011-01-23,56.90989272514271
2011-01-24,55.19908008948689
2011-01-25,56.31325465848229
2011-01-26,57.2789531571237
2011-01-27,55.75794936643501
2011-01-28,51.5284377083484
2011-01-29,54.532353357759
2011-01-30,52.93903439896479
2011-01-31,50.5605885531214
2011-02-01,54.990159799534
