Dates,temp
2018-08-01,56.2505205652907
2018-08-02,58.5074430104344
2018-08-03,52.8958118168419
2018-08-04,53.117123972529605
2018-08-05,53.238399959635004
2018-08-06,53.3048575159436
2018-08-07,53.3412753336494
2018-08-08,53.361231791878204
2018-08-09,53.372167653775605
2018-08-10,53.378160354187095
2018-08-11,53.381444270768995
2018-08-12,53.383243811439506
2018-08-13,53.384229934729795
2018-08-14,53.3847703165948
2018-08-15,53.3850664383504
2018-08-16,53.38522870895921
2018-08-17,59.651758242438895
2018-08-18,62.1197730721764
2018-08-19,61.131544864107504
2018-08-20,60.6008411110115
2018-08-21,63.18859545408879
2018-08-22,63.4456201161211
2018-08-23,62.0878190078127
2018-08-24,59.2359077662196
2018-08-25,58.607536809756795
2018-08-26,58.9768472491665
2018-08-27,62.676847466289104
2018-08-28,64.3109306484889
2018-08-29,61.261180044909295
2018-08-30,58.476940628080996
2018-08-31,58.4271820059241
2018-09-01,69.4391387587955
2018-09-02,83.3866999857415
2018-09-03,85.64725637519619
2018-09-04,74.64938483938191
2018-09-05,70.2166808581717
2018-09-06,70.0799095221477
2018-09-07,65.5191048501476
2018-09-08,68.1918660443367
2018-09-09,68.19186604442389
2018-09-10,65.7816842262898
2018-09-11,71.482118752079
2018-09-12,72.1641682027855
2018-09-13,68.4024887551428
2018-09-14,63.5844424637383
2018-09-15,61.468645070743996
2018-09-16,61.2830425151163
2018-09-17,60.70920921796039
2018-09-18,61.4772506599138
2018-09-19,62.575003299431295
2018-09-20,63.194016582163805
2018-09-21,62.0280924596239
2018-09-22,59.0366808593445
2018-09-23,59.6633475260111
2018-09-24,62.50545095019
2018-09-25,64.2277151011333
2018-09-26,65.50137174795161
2018-09-27,70.3172391788579
2018-09-28,71.44294518122021
2018-09-29,62.61742995430411
2018-09-30,59.2929854475147
2018-10-01,61.7391528662351
2018-10-02,61.1934285445297
2018-10-03,62.4032296808933
2018-10-04,58.5763357414993
2018-10-05,59.722900527288296
2018-10-06,59.844148202206
2018-10-07,63.5689652811708
2018-10-08,60.939043463884495
2018-10-09,63.4570482307644
2018-10-10,69.2404826453201
2018-10-11,60.6276074893966
2018-10-12,58.6499612826249
2018-10-13,57.3101169951
2018-10-14,58.212699377863
2018-10-15,64.636718985706
2018-10-16,67.057526421888
2018-10-17,68.9138440665076
2018-10-18,61.142244832408295
2018-10-19,53.25194067139529
2018-10-20,58.0985081109503
2018-10-21,55.651275638625606
2018-10-22,57.04110268575089
2018-10-23,60.437104139767705
2018-10-24,68.54347894775539
2018-10-25,76.1952751354387
2018-10-26,72.81960327080691
2018-10-27,70.99843538759531
2018-10-28,63.754137106800606
2018-10-29,54.5259401186036
2018-10-30,53.784145456294205
2018-10-31,55.1210327111962
2018-11-01,56.1959982759346
2018-11-02,58.3177696589875
2018-11-03,57.1815607010182
2018-11-04,59.8440882667518
2018-11-05,54.964385128499096
2018-11-06,52.295068891504705
2018-11-07,55.0819759346395
2018-11-08,55.986866044529705
2018-11-09,58.084415064137495
2018-11-10,60.9256950408121
2018-11-11,58.3402055279244
2018-11-12,56.4282645119626
2018-11-13,56.69109976100471
2018-11-14,59.2553641433889
2018-11-15,56.161463114126605
2018-11-16,57.9953594943112
2018-11-17,55.077149063397506
2018-11-18,54.6744057270693
2018-11-19,53.1393019419656
2018-11-20,54.5090909249123
2018-11-21,59.3639248680591
2018-11-22,60.3241737368373
2018-11-23,61.97284430539929
2018-11-24,62.2646815785101
2018-11-25,61.49680901030911
2018-11-26,62.88313877180239
2018-11-27,60.5714886860391
2018-11-28,53.37538252804621
2018-11-29,53.1742189857061
2018-11-30,54.606025336565104
2018-12-01,55.7023923603191
2018-12-02,52.7718660445296
2018-12-03,53.9420986026692
2018-12-04,52.7620478627115
2018-12-05,55.4451034546015
2018-12-06,55.5616421639326
2018-12-07,57.837004933418505
2018-12-08,56.376190368854
2018-12-09,53.6589831616467
2018-12-10,54.9791319621326
2018-12-11,54.5022246102666
2018-12-12,55.422635275298795
2018-12-13,52.890948613337
2018-12-14,53.5130425151179
2018-12-15,54.5607305133941
2018-12-16,53.6321504047192
2018-12-17,57.813204956663505
2018-12-18,56.43732058998421
2018-12-19,52.8848347945297
2018-12-20,51.258532711196295
2018-12-21,50.016669194136
2018-12-22,50.109377565267
2018-12-23,47.27783095681029
2018-12-24,48.860287097161205
2018-12-25,52.258532711196295
2018-12-26,52.6914578812644
2018-12-27,50.7116288903794
2018-12-28,50.5804035939367
2018-12-29,52.9437027792235
2018-12-30,52.9025803302439
2018-12-31,52.3290307954875
2019-01-01,52.804717450152104
2019-01-02,53.3708783902087
2019-01-03,55.5658856523728
2019-01-04,54.3583914682584
2019-01-05,57.6530089016725
2019-01-06,57.073737389559
2019-01-07,53.0212410445297
2019-01-08,50.057051229714794
2019-01-09,54.0144747401818
2019-01-10,55.8244747401818
2019-01-11,53.8678154116183
2019-01-12,54.5110327111963
2019-01-13,53.0981421951572
2019-01-14,53.151228594330505
2019-01-15,52.4317820109162
2019-01-16,54.4628977905614
2019-01-17,56.143764778706796
2019-01-18,54.614045032856595
2019-01-19,52.2763984186304
2019-01-20,50.351725199459295
2019-01-21,49.29732058998421
2019-01-22,50.3202707137904
2019-01-23,53.5499052602159
2019-01-24,51.4082007058842
2019-01-25,50.1742836269472
2019-01-26,50.056759661551
2019-01-27,48.9758076503691
2019-01-28,51.9612387382566
2019-01-29,55.8530171236664
2019-01-30,56.8752783668046
2019-01-31,55.731508901672605
2019-02-01,56.3058881847511
2019-02-02,60.392617924229
2019-02-03,61.6704638305075
