"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"2018.5836",56.2505205652907,51.5708056641832,60.9302354663983,49.0935142374271,63.4075268931544
"2018.5863",58.5074430104344,52.4761474282197,64.5387385926492,49.2833724079901,67.7315136128787
"2018.5890",52.8958118168419,46.454734534855,59.3368890988288,43.045034186237,62.7465894474468
"2018.5918",53.1171239725296,46.5225381788383,59.711709766221,43.0315753328212,63.202672612238
"2018.5945",53.238399959635,46.5756066518452,59.9011932674248,43.0485369289164,63.4282629903536
"2018.5973",53.3048575159436,46.6057237556204,60.0039912762667,43.0594165591685,63.5502984727186
"2018.6000",53.3412753336494,46.6189759592638,60.063574708035,43.0604056274874,63.6221450398114
"2018.6027",53.3612317918782,46.6217246002755,60.1007389834808,43.0540450003139,63.6684185834425
"2018.6055",53.3721676537756,46.6183460404192,60.125989267132,43.0430888433093,63.7012464642419
"2018.6082",53.3781603541871,46.6115037545141,60.1448169538601,43.0294521260687,63.7268685823055
"2018.6110",53.381444270769,46.6027368886182,60.1601516529197,43.0143059612735,63.7485825802644
"2018.6137",53.3832438114395,46.5929129010517,60.1735747218273,42.9983288495406,63.7681587733384
"2018.6164",53.3842299347298,46.5825144486462,60.1859454208133,42.981903766803,63.7865561026565
"2018.6192",53.3847703165948,46.5718082541215,60.197732379068,42.9652439943662,63.8042966388234
"2018.6219",53.3850664383504,46.5609411597502,60.2091917169506,42.9484674503402,63.8216654263607
"2018.6247",53.3852287089592,46.5499938319616,60.2204635859568,42.9316390564084,63.83881836151
"2018.6274",59.6517582424389,52.8054511306493,66.4980653542285,49.1812350680508,70.122281416827
"2018.6301",62.1197730721764,55.2624221749901,68.9771239693626,51.6323598855466,72.6071862588061
"2018.6329",61.1315448641075,54.2631737206769,67.9999160075382,50.6272776652628,71.6358120629523
"2018.6356",60.6008411110115,53.7214705375009,67.4802116845221,50.0797517355281,71.1219304864949
"2018.6384",63.1885954540888,56.2982447395321,70.0789461686455,52.6507134019983,73.7264775061793
"2018.6411",63.4456201161211,56.5443076766436,70.3469325555986,52.8909735524566,74.0002666797856
"2018.6438",62.0878190078127,55.1755627447526,69.0000752708729,51.5164353103084,72.6592027053171
"2018.6466",59.2359077662196,52.3127252623195,66.1590902701197,48.6478138253599,69.8240017070793
"2018.6493",58.6075368097568,51.6734454367818,65.5416281827318,48.0027591933638,69.2123144261498
"2018.6521",58.9768472491665,52.0318642270664,65.9218302712666,48.3554122928807,69.5982822054524
"2018.6548",62.6768474662891,55.7209898958493,69.6327050367289,52.0387813235047,73.3149136090735
"2018.6575",64.3109306484889,57.3442155294745,71.2776457675033,53.6562593181033,74.9656019788745
"2018.6603",61.2611800449093,54.2836242862697,68.2387358035489,50.5899293869289,71.9324307028898
"2018.6630",58.476940628081,51.4885610538074,65.4653202023547,47.7891363725799,69.1647448835821
"2018.6658",58.4271820059241,51.4279953585258,65.4263686533223,47.7228497583608,69.1315142534873
"2018.6685",69.4391387587955,62.4291617014711,76.4491158161199,58.718304003333,80.159973514258
"2018.6712",83.3866999857415,76.3659491038321,90.4074508676509,72.6493880874701,94.1240118840128
"2018.6740",85.6472563751962,78.6157481772439,92.6787645731486,74.8934925817524,96.4010201686401
"2018.6767",74.6493848393819,67.6071357579689,81.6916339207948,63.8791942822315,85.4195753965322
"2018.6795",70.2166808581717,63.1637072506373,77.269654465706,59.4300885537064,81.003273162637
"2018.6822",70.0799095221477,63.016227671235,77.1435913730605,59.2769403726739,80.8828786716216
"2018.6849",65.5191048501476,58.4447309646091,72.5934787356861,54.6997836448133,76.3384260554819
"2018.6877",68.1918660443367,61.1068162595159,75.2769158291576,57.3562174600201,79.0275146286534
"2018.6904",68.1918660444239,61.0961564228193,75.2875756660285,57.3399146465968,79.0438174422511
"2018.6932",65.7816842262898,58.6753307581086,72.888037694471,54.9134544698635,76.6499139827161
"2018.6959",71.482118752079,64.365137355781,78.5991001483771,60.597634982237,82.3666025219211
"2018.6986",72.1641682027855,65.03657472562,79.291761679951,61.2634546558043,83.0648817497667
"2018.7014",68.4024887551428,61.2642989736794,75.5406785366061,57.4855695592034,79.3194079510822
"2018.7041",63.5844424637383,56.4356720843912,70.7332128430854,52.6513416397282,74.5175432877484
"2018.7068",61.468645070744,54.3093097302905,68.6279804111975,50.5193865330505,72.4179036084375
"2018.7096",61.2830425151163,54.1131577812103,68.4529272490223,50.3176500724115,72.2484349578212
"2018.7123",60.7092092179604,53.5287905896402,67.8896278462807,49.7277065739777,71.6907118619431
"2018.7151",61.4772506599138,54.2863135681047,68.668187751723,50.479661414217,72.4748399056107
